message_id,sent_time,messages_sent_in_day
13305423.0,2017-11-24,.3
13379133.0,2017-11-26,1.2
13396485.0,2017-11-27,1.2
13417044.0,2017-11-29,1.2
13458111.0,2017-12-01,1.2
13471784.0,2017-12-01,2
13550106.0,2017-12-03,1.2
13603989.0,2017-12-04,1.2
13616791.0,2017-12-05,1.2
13641139.0,2017-12-06,1.2
13764774.0,2017-12-10,1.2
13770570.0,2017-12-10,2
13817837.0,2017-12-11,1.2
13827630.0,2017-12-12,1.2
13844164.0,2017-12-12,2
13844618.0,2017-12-12,1
13900230.0,2017-12-15,1.2
13955071.0,2017-12-16,1.2
14004909.0,2017-12-18,1.2
14010194.0,2017-12-18,2
14078099.0,2017-12-21,1.2
14218315.0,2017-12-28,.2

