message_id,sent_time,messages_sent_in_day
1970268.0,2017-04-05,5.4
2575515.0,2017-07-13,5.4
2610242.0,2017-07-17,5.4
2926234.0,2017-08-20,5.1
3110458.0,2017-09-06,5.0
3130002.0,2017-09-08,5.4
3255637.0,2017-09-18,4
3387239.0,2017-09-29,5.1
3447200.0,2017-10-03,5.1
3861761.0,2017-11-05,4.4
3949012.0,2017-11-12,5.1
4082149.0,2017-11-21,5.4
4155079.0,2017-11-27,.4
4348242.0,2017-12-12,5.4
4495880.0,2017-12-26,.1
4569256.0,2017-01-01,4.4
4583204.0,2017-01-02,5.0
4621515.0,2017-01-04,5.0
4678673.0,2017-01-07,5.1
4743194.0,2017-01-10,5.1
4761212.0,2017-01-11,5.4
4831117.0,2017-01-14,1.7
4882719.0,2017-01-17,5.1
4993390.0,2017-01-23,5.4
5025999.0,2017-01-24,4
5116854.0,2017-01-29,4.4
5245310.0,2017-02-05,5.4
5322663.0,2017-02-09,5.1
5359655.0,2017-02-11,1
5796069.0,2017-03-01,4.6
5851670.0,2017-03-04,5.0
5851896.0,2017-03-05,5.1
5853612.0,2017-03-06,1.6
5948879.0,2017-03-07,1.9
6023444.0,2017-03-11,5.0
6090357.0,2017-03-14,5.1
6144796.0,2017-03-16,5.4
6174973.0,2017-03-18,5.1
6323260.0,2017-03-25,5.4
6366507.0,2017-03-27,.4
6534141.0,2017-04-02,5.1
6616172.0,2017-04-06,5.1
6688595.0,2017-04-08,5.4
6922048.0,2017-04-18,5.0
7041460.0,2017-04-23,4.8
7067217.0,2017-04-24,5.1
7096079.0,2017-04-25,5.1
7300262.0,2017-05-03,5.0
7336120.0,2017-05-05,5.4
7398366.0,2017-05-07,5.1
7599527.0,2017-05-11,5.1
7604054.0,2017-05-15,4.4
7625589.0,2017-05-16,5.4
7648767.0,2017-05-17,5.1	
7655490.0,2017-05-18,5
7656367.0,2017-05-19,1.1
7741827.0,2017-05-21,5.1
7759564.0,2017-05-24,4
7796184.0,2017-05-25,5.1
7796654.0,2017-05-26,4
7824266.0,2017-05-27,5.4
7832111.0,2017-05-28,.4
7835265.0,2017-05-29,4
8042720.0,2017-06-02,5.4
8153484.0,2017-06-05,5.0
8155267.0,2017-06-06,4.1
8168868.0,2017-06-07,5.1
8294471.0,2017-06-12,5.1
8339875.0,2017-06-14,5.4
8394042.0,2017-06-16,5.1
8471153.0,2017-06-19,5.0
8590893.0,2017-06-24,5.1
8623911.0,2017-06-25,5.1
8693067.0,2017-06-27,5.1
8694404.0,2017-06-28,4
8723754.0,2017-06-29,5.1
8746370.0,2017-06-30,5.1
8837073.0,2017-07-03,4.8
8865344.0,2017-07-04,.4
8941709.0,2017-07-08,5.1
8994291.0,2017-07-09,5.1
9128987.0,2017-07-14,5.4
9159831.0,2017-07-15,5.1
9204944.0,2017-07-16,5.1
9210923.0,2017-06-17,5.1
9266018.0,2017-07-18,5.1
9266231.0,2017-07-19,4
9324786.0,2017-07-21,5.4
9341950.0,2017-07-23,4
9486548.0,2017-07-25,5.1
9588570.0,2017-07-26,5.1
9592865.0,2017-07-27,4
9593086.0,2017-07-28,1
9623321.0,2017-07-30,5.1
9688607.0,2017-08-01,5.1
9707213.0,2017-08-02,4
9788944.0,2017-08-04,5.1
9936524.0,2017-08-09,5.4
10008718.0,2017-08-11,5.4
10010036.0,2017-08-12,5.1
