message_id,sent_time,messages_sent_in_day
1970268.0,2017-04-05,3.2
2575515.0,2017-07-13,3.2
2610242.0,2017-07-17,3.2
2926234.0,2017-08-20,3.1
3110458.0,2017-09-06,3.0
3130002.0,2017-09-08,3.2
3255637.0,2017-09-18,2
3387239.0,2017-09-29,3.1
3447200.0,2017-10-03,3.5
3861761.0,2017-11-05,2.2
3949012.0,2017-11-12,3.1
4082149.0,2017-11-21,3.2
4155079.0,2017-11-27,.2
4348242.0,2017-12-12,3.2
4495880.0,2017-12-26,.1
4569256.0,2017-01-01,2.2
4583204.0,2017-01-02,3.0
4621515.0,2017-01-04,3.0
4678673.0,2017-01-07,3.5
4743194.0,2017-01-10,3.1
4761212.0,2017-01-11,3.2
4831117.0,2017-01-14,1.7
4882719.0,2017-01-17,3.1
4993390.0,2017-01-23,3.2
5025999.0,2017-01-24,2
5116854.0,2017-01-29,2.2
5245310.0,2017-02-05,3.2
5322663.0,2017-02-09,3.5
5359655.0,2017-02-11,1
5796069.0,2017-03-01,2.6
5851670.0,2017-03-04,3.0
5851896.0,2017-03-05,3.5
5853612.0,2017-03-06,1.6
5948879.0,2017-03-07,1.9
6023444.0,2017-03-11,3.0
6090357.0,2017-03-14,3.5
6144796.0,2017-03-16,3.2
6174973.0,2017-03-18,3.1
6323260.0,2017-03-25,3.2
6366507.0,2017-03-27,.2
6534141.0,2017-04-02,3.1
6616172.0,2017-04-06,3.5
6688595.0,2017-04-08,3.2
6922048.0,2017-04-18,3.0
7041460.0,2017-04-23,2.8
7067217.0,2017-04-24,3.5
7096079.0,2017-04-25,3.5
7300262.0,2017-05-03,3.0
7336120.0,2017-05-05,3.2
7398366.0,2017-05-07,3.5
7599527.0,2017-05-11,3.1
7604054.0,2017-05-15,2.4
7625589.0,2017-05-16,3.2
7648767.0,2017-05-17,3.1	
7655490.0,2017-05-18,3
7656367.0,2017-05-19,1.1
7741827.0,2017-05-21,3.5
7759564.0,2017-05-24,2
7796184.0,2017-05-25,3.5
7796654.0,2017-05-26,2
7824266.0,2017-05-27,3.2
7832111.0,2017-05-28,.2
7835265.0,2017-05-29,2
8042720.0,2017-06-02,3.2
8153484.0,2017-06-05,3.0
8155267.0,2017-06-06,2.1
8168868.0,2017-06-07,3.5
8294471.0,2017-06-12,3.1
8339875.0,2017-06-14,3.2
8394042.0,2017-06-16,3.1
8471153.0,2017-06-19,3.0
8590893.0,2017-06-24,3.5
8623911.0,2017-06-25,3.1
8693067.0,2017-06-27,3.5
8694404.0,2017-06-28,2
8723754.0,2017-06-29,3.1
8746370.0,2017-06-30,3.5
8837073.0,2017-07-03,2.8
8865344.0,2017-07-04,.2
8941709.0,2017-07-08,3.1
8994291.0,2017-07-09,3.5
9128987.0,2017-07-14,3.2
9159831.0,2017-07-15,3.5
9204944.0,2017-07-16,3.5
9210923.0,2017-06-17,3.5
9266018.0,2017-07-18,3.5
9266231.0,2017-07-19,2
9324786.0,2017-07-21,3.2
9341950.0,2017-07-23,2
9486548.0,2017-07-25,3.5
9588570.0,2017-07-26,3.5
9592865.0,2017-07-27,2
9593086.0,2017-07-28,1
9623321.0,2017-07-30,3.5
9688607.0,2017-08-01,3.5
9707213.0,2017-08-02,2
9788944.0,2017-08-04,3.5
9936524.0,2017-08-09,3.2
10008718.0,2017-08-11,3.2
10010036.0,2017-08-12,3.5
10013367.0,2017-08-13,2
10092951.0,2017-08-14,3.5
10180489.0,2017-08-17,3.5
10263094.0,2017-08-19,3.52
10286186.0,2017-08-20,3.2
10323615.0,2017-08-21,3.5
10324019.0,2017-08-22,3
10337486.0,2017-08-23,1
10538427.0,2017-08-28,3.5
10544930.0,2017-08-29,3
10636490.0,2017-09-01,3.2
10662893.0,2017-09-02,3.2
10689638.0,2017-09-03,.2
10720808.0,2017-09-04,3.2
10727816.0,2017-09-05,2
10827838.0,2017-09-06,3.5
10868207.0,2017-09-08,3.5
10901991.0,2017-09-09,3.2
10902800.0,2017-09-10,2
11042358.0,2017-09-13,.2
11067087.0,2017-09-14,3.2
11092456.0,2017-09-15,3.5
11095545.0,2017-09-16,3
11112536.0,2017-09-17,1
11155241.0,2017-09-18,3.2
11200021.0,2017-09-19,3.2
11330013.0,2017-09-22,3.5
11396324.0,2017-09-24,3.2
11438062.0,2017-09-25,3.2
11497501.0,2017-09-27,3.5
11523569.0,2017-09-28,3.52
11577380.0,2017-09-30,3.5
11643442.0,2017-10-01,3.5
11675126.0,2017-10-02,3
11686638.0,2017-10-03,3.2
11761527.0,2017-10-06,3.5
11797089.0,2017-10-07,3.5
11806540.0,2017-10-08,3
11890577.0,2017-10-10,3.2
11913225.0,2017-10-10,3
11925201.0,2017-10-11,3.2
12054268.0,2017-10-15,3.5
12109954.0,2017-10-17,3.5
12287440.0,2017-10-23,3.2
12299908.0,2017-10-23,3
12338351.0,2017-10-24,3.2
12479671.0,2017-10-29,3.5
12493743.0,2017-10-31,.5
12599551.0,2017-11-02,3.2
12640897.0,2017-11-03,3.5
12652971.0,2017-11-04,3.5
12721270.0,2017-11-06,3.5
12772615.0,2017-11-07,3.2
12824087.0,2017-11-09,3.2
12883125.0,2017-11-10,3.2
12929179.0,2017-11-11,3.5
12950733.0,2017-11-12,2
12981403.0,2017-11-13,3.5
12985451.0,2017-11-17,2
13013572.0,2017-11-14,3.5
13049151.0,2017-11-15,3.2
13158802.0,2017-11-18,3.2
13164116.0,2017-11-19,3
13305423.0,2017-11-24,.3
13379133.0,2017-11-26,3.2
13396485.0,2017-11-27,3.2
13417044.0,2017-11-29,3.5
13458111.0,2017-12-01,3.5
13471784.0,2017-12-01,2
13550106.0,2017-12-03,3.2
13603989.0,2017-12-04,3.5
13616791.0,2017-12-05,3.5
13641139.0,2017-12-06,3.2
13764774.0,2017-12-09,3.2
13770570.0,2017-12-10,3
13817837.0,2017-12-11,3.2
13827630.0,2017-12-12,3.5
13844164.0,2017-12-13,3
13844618.0,2017-12-14,1
13900230.0,2017-12-15,3.2
